Shopping_ID,Subcategory,Source_Dataset,Store_ID,Store_Name,Locality,Store_Type,Main_Categories,Chennai_Zone,Address,Phone,Rating,Review_Count,Verification_Status,Main_Products,Data_Status,Market_ID,Market_Name,Shopping_Categories,Market_Type,Operating_Days,Typical_Operating_Time,Mall_Name,Type,Developer_or_Group,Notes,Interest_Category
119,Book Stores,chennai_book_stores_100_plus(1).csv,119.0,ACE Academy Book Store Chennai,Chennai,Competitive Exam Book Store,"GATE, engineering books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
120,Book Stores,chennai_book_stores_100_plus(1).csv,120.0,Engineering Book Centre Chennai,Guindy,Technical Book Store,"Engineering, technical books",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
121,Book Stores,chennai_book_stores_100_plus(1).csv,121.0,Technical Book House Chennai,Guindy,Technical Book Store,"Engineering, computer books",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
122,Book Stores,chennai_book_stores_100_plus(1).csv,122.0,Medical Book Centre Chennai,T Nagar,Medical Book Store,"Medical, nursing, pharmacy books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
123,Book Stores,chennai_book_stores_100_plus(1).csv,123.0,Jaypee Brothers Medical Publishers - Chennai,Chennai,Medical Book Store,"Medical textbooks, reference books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
124,Book Stores,chennai_book_stores_100_plus(1).csv,124.0,CBS Publishers & Distributors - Chennai,Chennai,Medical Book Store,"Medical, nursing, academic books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
125,Book Stores,chennai_book_stores_100_plus(1).csv,125.0,McGraw Hill Education Book Store - Chennai,Chennai,Academic Book Store,"Academic, professional books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
126,Book Stores,chennai_book_stores_100_plus(1).csv,126.0,Pearson Book Store - Chennai,Chennai,Academic Book Store,"Academic, professional books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
127,Book Stores,chennai_book_stores_100_plus(1).csv,127.0,Cambridge University Press Bookshop - Chennai,Chennai,Academic Book Store,"Academic, English learning books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
128,Book Stores,chennai_book_stores_100_plus(1).csv,128.0,Scholastic Book Shop Chennai,Chennai,Children's Book Store,"Children's books, educational books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
129,Book Stores,chennai_book_stores_100_plus(1).csv,129.0,Tulika Publishers Store Chennai,Chennai,Children's Book Store,"Children's books, bilingual books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
130,Book Stores,chennai_book_stores_100_plus(1).csv,130.0,Karadi Tales Book Shop Chennai,Chennai,Children's Book Store,"Children's books, stories",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
131,Book Stores,chennai_book_stores_100_plus(1).csv,131.0,Bookworm Chennai,Adyar,Children's Book Store,"Children's books, fiction",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
132,Book Stores,chennai_book_stores_100_plus(1).csv,132.0,Kiddo Book House Chennai,Anna Nagar,Children's Book Store,"Children's books, activity books",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
133,Book Stores,chennai_book_stores_100_plus(1).csv,133.0,Read Well Book Centre Chennai,T Nagar,Book Store,"General, academic books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
134,Book Stores,chennai_book_stores_100_plus(1).csv,134.0,Sri Venkateswara Book Depot Chennai,T Nagar,Book Store,"School, college books, stationery",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
135,Book Stores,chennai_book_stores_100_plus(1).csv,135.0,Lakshmi Book Depot Chennai,T Nagar,Book Store,"Academic, school books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
136,Book Stores,chennai_book_stores_100_plus(1).csv,136.0,Sakthi Book House Chennai,Purasawalkam,Book Store,"Academic, school books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
137,Book Stores,chennai_book_stores_100_plus(1).csv,137.0,Vasantha Book House Chennai,Purasawalkam,Book Store,"General, academic books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
138,Book Stores,chennai_book_stores_100_plus(1).csv,138.0,Raghavan Book Depot Chennai,Mylapore,Book Store,"Tamil, school, general books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
139,Book Stores,chennai_book_stores_100_plus(1).csv,139.0,Sri Krishna Book House Chennai,Mylapore,Book Store,"Religious, Tamil, general books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
140,Book Stores,chennai_book_stores_100_plus(1).csv,140.0,Vijaya Book House Chennai,Mylapore,Book Store,"Academic, general books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
141,Book Stores,chennai_book_stores_100_plus(1).csv,141.0,Ganesh Book House Chennai,Adyar,Book Store,"Academic, general books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
142,Book Stores,chennai_book_stores_100_plus(1).csv,142.0,Saraswathi Book Depot Chennai,Adyar,Book Store,"Academic, school books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
143,Book Stores,chennai_book_stores_100_plus(1).csv,143.0,Balaji Book Centre Chennai,Velachery,Book Store,"Academic, school, general books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
144,Book Stores,chennai_book_stores_100_plus(1).csv,144.0,Sri Sai Book Centre Chennai,Velachery,Book Store,"Academic, general books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
145,Book Stores,chennai_book_stores_100_plus(1).csv,145.0,Vivekananda Book Centre Chennai,Anna Nagar,Book Store,"Spiritual, philosophy, general books",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
146,Book Stores,chennai_book_stores_100_plus(1).csv,146.0,Ramakrishna Mission Book Centre Chennai,T Nagar,Book Store,"Spiritual, philosophy, books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
147,Book Stores,chennai_book_stores_100_plus(1).csv,147.0,ISKCON Book Store Chennai,Injambakkam,Religious Book Store,"Bhagavad Gita, spiritual books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
148,Book Stores,chennai_book_stores_100_plus(1).csv,148.0,Chinmaya Mission Book Shop Chennai,Anna Nagar,Religious Book Store,"Vedanta, spiritual books",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
149,Book Stores,chennai_book_stores_100_plus(1).csv,149.0,Art of Living Book Shop Chennai,Chennai,Religious Book Store,"Spiritual, wellness books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
150,Book Stores,chennai_book_stores_100_plus(1).csv,150.0,Bharatiya Vidya Bhavan Book Centre,Mylapore,Book Store,"Indian culture, literature, academic books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
151,Book Stores,chennai_book_stores_100_plus(1).csv,151.0,Theosophical Society Book Shop,Adyar,Book Store,"Philosophy, spirituality, literature",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
152,Book Stores,chennai_book_stores_100_plus(1).csv,152.0,Kalakshetra Book Shop,Thiruvanmiyur,Book Store,"Indian art, culture, dance, music books",South Chennai,,,,,Known institution/brand - verify current outlet,,,,,,,,,,,,,Shopping Interest
153,Book Stores,chennai_book_stores_100_plus(1).csv,153.0,DakshinaChitra Book & Craft Shop,Muttukadu,Book & Craft Store,"Culture, art, craft books",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
154,Book Stores,chennai_book_stores_100_plus(1).csv,154.0,Government Museum Book Shop,Egmore,Museum Book Store,"Art, history, archaeology books",Central Chennai,,,,,Known institution/brand - verify current outlet,,,,,,,,,,,,,Shopping Interest
155,Book Stores,chennai_book_stores_100_plus(1).csv,155.0,Connemara Public Library Book Sales,Egmore,Library/Book Shop,"Books, publications",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
156,Book Stores,chennai_book_stores_100_plus(1).csv,156.0,National Book Trust Sales Centre Chennai,Chennai,Book Store,"Indian literature, educational books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
157,Book Stores,chennai_book_stores_100_plus(1).csv,157.0,University of Madras Book Centre,Chepauk,Academic Book Store,"Academic, research books",Central Chennai,,,,,Known institution/brand - verify current outlet,,,,,,,,,,,,,Shopping Interest
158,Book Stores,chennai_book_stores_100_plus(1).csv,158.0,IIT Madras Book Store,Adyar,Academic Book Store,"Engineering, science, academic books",South Chennai,,,,,Known institution/brand - verify current outlet,,,,,,,,,,,,,Shopping Interest
159,Book Stores,chennai_book_stores_100_plus(1).csv,159.0,Anna University Book Store,Guindy,Academic Book Store,"Engineering, academic books",South/Central Chennai,,,,,Known institution/brand - verify current outlet,,,,,,,,,,,,,Shopping Interest
160,Book Stores,chennai_book_stores_100_plus(1).csv,160.0,Loyola College Book Shop,Nungambakkam,College Book Store,"Academic, textbooks",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
161,Book Stores,chennai_book_stores_100_plus(1).csv,161.0,Madras Christian College Book Shop,Tambaram,College Book Store,"Academic, textbooks",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
162,Book Stores,chennai_book_stores_100_plus(1).csv,162.0,Presidency College Book Shop,Chepauk,College Book Store,Academic books,Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
163,Book Stores,chennai_book_stores_100_plus(1).csv,163.0,Stella Maris College Book Shop,Chennai,College Book Store,Academic books,Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
164,Book Stores,chennai_book_stores_100_plus(1).csv,164.0,Women's Christian College Book Shop,Nungambakkam,College Book Store,Academic books,Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
165,Book Stores,chennai_book_stores_100_plus(1).csv,165.0,Sathyabama University Book Store,Semmancheri,University Book Store,"Academic, engineering books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
166,Book Stores,chennai_book_stores_100_plus(1).csv,166.0,SRM Book Store - Ramapuram,Ramapuram,University Book Store,"Academic, engineering books",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
167,Book Stores,chennai_book_stores_100_plus(1).csv,167.0,Hindustan Institute Book Store,Kelambakkam,University Book Store,"Academic, engineering books",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
168,Book Stores,chennai_book_stores_100_plus(1).csv,168.0,Saveetha Book Store,Thandalam,University Book Store,"Medical, engineering, academic books",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
169,Book Stores,chennai_book_stores_100_plus(1).csv,169.0,VIT Chennai Book Store,Kelambakkam,University Book Store,"Engineering, academic books",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
170,Book Stores,chennai_book_stores_100_plus(1).csv,170.0,SSN College Book Store,Kalavakkam,College Book Store,Academic books,Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
171,Book Stores,chennai_book_stores_100_plus(1).csv,171.0,MOP Vaishnav College Book Shop,Nungambakkam,College Book Store,Academic books,Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
172,Book Stores,chennai_book_stores_100_plus(1).csv,172.0,Ethiraj College Book Shop,Egmore,College Book Store,Academic books,Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
173,Book Stores,chennai_book_stores_100_plus(1).csv,173.0,Guru Nanak College Book Shop,Velachery,College Book Store,Academic books,South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
174,Book Stores,chennai_book_stores_100_plus(1).csv,174.0,D.G. Vaishnav College Book Shop,Arumbakkam,College Book Store,Academic books,West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
175,Book Stores,chennai_book_stores_100_plus(1).csv,175.0,Pachaiyappa's College Book Shop,Chetpet,College Book Store,Academic books,Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
176,Book Stores,chennai_book_stores_100_plus(1).csv,176.0,New Prince Shri Bhavani College Book Shop,Medavakkam,College Book Store,Academic books,South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
177,Book Stores,chennai_book_stores_100_plus(1).csv,177.0,Madras School of Social Work Book Shop,Egmore,College Book Store,Academic books,Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
178,Book Stores,chennai_book_stores_100_plus(1).csv,178.0,Tamil Nadu Open University Book Centre,Saidapet,Academic Book Store,Distance education books,South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
179,Book Stores,chennai_book_stores_100_plus(1).csv,179.0,National Institute of Fashion Technology Book Shop,Taramani,Academic Book Store,"Fashion, design books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
180,Book Stores,chennai_book_stores_100_plus(1).csv,180.0,Asian College of Journalism Book Shop,Taramani,Academic Book Store,"Journalism, media books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
181,Book Stores,chennai_book_stores_100_plus(1).csv,181.0,National Institute of Technical Teachers Book Centre,Chennai,Academic Book Store,Technical education books,Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
182,Book Stores,chennai_book_stores_100_plus(1).csv,182.0,Second-hand Book Market - Anna Salai,Anna Salai,Second-hand Book Store,"Used books, textbooks",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
183,Book Stores,chennai_book_stores_100_plus(1).csv,183.0,Second-hand Book Shops - Triplicane,Triplicane,Second-hand Book Store,"Used books, Tamil books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
184,Book Stores,chennai_book_stores_100_plus(1).csv,184.0,Second-hand Book Shops - Mylapore,Mylapore,Second-hand Book Store,"Used books, academic books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
185,Book Stores,chennai_book_stores_100_plus(1).csv,185.0,Second-hand Book Shops - T Nagar,T. Nagar,Second-hand Book Store,"Used books, novels",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
186,Book Stores,chennai_book_stores_100_plus(1).csv,186.0,Second-hand Book Shops - Adyar,Adyar,Second-hand Book Store,"Used books, academic books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
187,Book Stores,chennai_book_stores_100_plus(1).csv,187.0,Second-hand Book Shops - Anna Nagar,Anna Nagar,Second-hand Book Store,"Used books, textbooks",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
188,Book Stores,chennai_book_stores_100_plus(1).csv,188.0,Second-hand Book Shops - Tambaram,Tambaram,Second-hand Book Store,"Used books, academic books",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
189,Book Stores,chennai_book_stores_100_plus(1).csv,189.0,Second-hand Book Shops - Purasawalkam,Purasawalkam,Second-hand Book Store,"Used books, Tamil books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
190,Book Stores,chennai_book_stores_100_plus(1).csv,190.0,Second-hand Book Shops - George Town,George Town,Second-hand Book Store,"Used books, general books",North/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
191,Book Stores,chennai_book_stores_100_plus(1).csv,191.0,Second-hand Book Shops - Sowcarpet,Sowcarpet,Second-hand Book Store,"Used books, exam guides",Central/North Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
192,Book Stores,chennai_book_stores_100_plus(1).csv,192.0,Used Engineering Books - Guindy,Guindy,Second-hand Book Store,Used engineering books,South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
193,Book Stores,chennai_book_stores_100_plus(1).csv,193.0,Used Medical Books - T Nagar,T Nagar,Second-hand Book Store,Used medical books,Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
194,Book Stores,chennai_book_stores_100_plus(1).csv,194.0,Used UPSC Books - Anna Nagar,Anna Nagar,Second-hand Book Store,Used competitive exam books,West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
195,Book Stores,chennai_book_stores_100_plus(1).csv,195.0,Used School Books - Tambaram,Tambaram,Second-hand Book Store,Used school books,Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
196,Book Stores,chennai_book_stores_100_plus(1).csv,196.0,Used College Books - Velachery,Velachery,Second-hand Book Store,Used college books,South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
197,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,1.0,Magizh Handicrafts - Ambattur,Ambattur,Handicraft,"Woodcraft, home décor, traditional crafts",West Chennai,"Secretariat Colony, Vivek Nagar, West Krishnapuram, Ambattur, Chennai 600053",919811386369.0,4.7,1764.0,Current business listing,,,,,,,,,,,,,Shopping Interest
198,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,2.0,Magizh Handicrafts - ECR,Kottivakkam / ECR,Handicraft,"Woodcraft, décor, traditional crafts",Chennai,"1st Floor, East Coast Rd, 1/30, Kottivakkam, Chennai 600041",919811386369.0,4.9,803.0,Current business listing,,,,,,,,,,,,,Shopping Interest
199,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,3.0,Chozha Arts & Crafts,Mylapore,Handicraft,"Traditional crafts, dolls, décor",Central Chennai,"28, S Mada St, Mylapore, Chennai 600004",919677207878.0,4.7,16.0,Current business listing,,,,,,,,,,,,,Shopping Interest
200,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,4.0,ALL INDIA HANDLOOM & HANDICRAFTS All State Golu Doll's,Mylapore,Handicraft,"Golu dolls, traditional crafts",Central Chennai,"Shop 47, N Mada St, Mylapore, Chennai 600004",917358317050.0,4.3,8.0,Current business listing,,,,,,,,,,,,,Shopping Interest
201,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,5.0,Adyar Handicrafts,Thiruvanmiyur,Handicraft,"Handicrafts, décor, gifts",South Chennai,"27, N Mada St, Thiruvanmiyur, Chennai 600041",918122832238.0,4.9,381.0,Current business listing,,,,,,,,,,,,,Shopping Interest
202,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,6.0,JAN ARTS EMPORIUM,Spencer Plaza,Central Chennai,"Cashmere handlooms, crafts, gifts",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
203,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,7.0,Kalpa Druma,Gopalapuram,Craft Store,"Handicrafts, décor, gifts",Central Chennai,"72, Cathedral Rd, Gopalapuram, Chennai 600086",914428117652.0,4.4,762.0,Current business listing,,,,,,,,,,,,,Shopping Interest
204,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,8.0,Mahalakshmi Handicrafts Padi,Padi,Handicraft/Gift Store,"Handicrafts, gifts",West Chennai,"5/8, Manickavasagar St, Padi, Chennai 600050",919445962386.0,5.0,36.0,Current business listing,,,,,,,,,,,,,Shopping Interest
205,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,9.0,Shuttles & Needles,Adyar,Craft Store,"Weaving supplies, craft materials",South Chennai,"10/16, 4th Ave, Indira Nagar, Adyar, Chennai 600020",914424410555.0,4.8,186.0,Current business listing,,,,,,,,,,,,,Shopping Interest
206,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,10.0,Ajanta Arts And Crafts,Anna Salai,Handicraft,"Traditional crafts, décor",Central Chennai,"Old No.137, New No.185, Anna Salai, Chennai 600002",919500040049.0,4.6,37.0,Current business listing,,,,,,,,,,,,,Shopping Interest
207,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,11.0,Poompuhar - Anna Salai,Anna Salai,Government Handicraft Store,"Bronze, woodcraft, Tanjore art, dolls",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
208,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,12.0,Victoria Technical Institute,Anna Salai,Handicraft Store,"Wood carving, bronze, brass lamps, paintings",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
209,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,13.0,The Cottage Arts Emporium,Mylapore,Handicraft Emporium,"Bronze, brass, sandalwood, crafts",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
210,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,14.0,Central Cottage Industries Emporium,Nandanam,Handicraft Emporium,"Wood carving, crafts, textiles, toys",Central/South Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
211,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,15.0,Srushti The Handicrafts Emporium,Alwarpet,Handicraft Emporium,"Bronze, brass, stone, woodcraft, paintings",Central/South Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
212,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,16.0,Cottage Industries Exposition,Nungambakkam,Handicraft Emporium,"Indian handicrafts, décor, gifts",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
213,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,17.0,Cane & Bamboo,Egmore,Handicraft Store,"Cane, bamboo, furniture, crafts",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
214,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,18.0,DakshinaChitra Craft Shop,Muttukadu / ECR,Craft & Museum Store,"Regional crafts, textiles, décor",Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
215,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,19.0,Kalakshetra Craft Shop,Thiruvanmiyur,Craft Store,"Handloom, handicrafts, traditional products",South Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
216,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,20.0,Chennai Crafts,Mylapore,Handicraft Store,"Traditional handicrafts, gifts",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
217,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,21.0,Tanjore Arts Gallery,Mylapore,Art & Handicraft Store,"Tanjore paintings, traditional art",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
218,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,22.0,Tanjore Art Gallery,T. Nagar,Art & Handicraft Store,"Tanjore paintings, art pieces",South/Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
219,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,23.0,Kumbakonam Brass & Handicrafts,Mylapore,Handicraft Store,"Brass lamps, pooja articles",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
220,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,24.0,Bronze Gallery Chennai,Mylapore,Handicraft Store,"Bronze idols, sculptures",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
221,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,25.0,Brass Lamps & Crafts,Mylapore,Handicraft Store,"Brass lamps, pooja crafts",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
222,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,26.0,Tamil Nadu Handicrafts Development Corporation Showroom,Anna Salai,Government Handicraft Store,Tamil Nadu handicrafts,Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
223,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,27.0,Poompuhar Handicrafts - Egmore,Egmore,Government Handicraft Store,"Bronze, wood, stone, dolls",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
224,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,28.0,Poompuhar Handicrafts - Mylapore,Mylapore,Government Handicraft Store,"Dolls, bronze, woodcraft",Central Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
225,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,29.0,Poompuhar Handicrafts - Anna Nagar,Anna Nagar,Government Handicraft Store,Traditional handicrafts,West Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
226,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,30.0,Poompuhar Handicrafts - Adyar,Adyar,Government Handicraft Store,Traditional handicrafts,South Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
227,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,31.0,Poompuhar Handicrafts - Velachery,Velachery,Government Handicraft Store,Traditional handicrafts,South Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
228,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,32.0,Poompuhar Handicrafts - Tambaram,Tambaram,Government Handicraft Store,Traditional handicrafts,Chennai Metropolitan Area,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
229,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,33.0,Poompuhar Handicrafts - Koyambedu,Koyambedu,Government Handicraft Store,Traditional handicrafts,West Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
230,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,34.0,Crafts Council of India - Chennai,Chennai,Craft Organization/Store,"Crafts, artisan products",Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
231,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,35.0,Chennai Pottery Studio,Adyar,Pottery & Craft Store,"Pottery, ceramics, handmade décor",South Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
232,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,36.0,Kalai Handmade Crafts,Besant Nagar,Handicraft Store,"Handmade gifts, décor",South Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
233,Handicraft Stores,chennai_handicraft_stores_100_plus(1).csv,37.0,Craftroots Chennai,Alwarpet,Handicraft Store,"Handmade crafts, lifestyle products",Central/South Chennai,,,,,Needs individual verification,,,,,,,,,,,,,Shopping Interest
